item_n,batch,depth,summary
47,0004,full,REL_HWHEEL mapped to super+next/prior: scroll continued repeating after mouse button release. Root: early 0.7.0 release had a fix not yet in the .deb; installing the re-released .deb resolved it. Scroll-event release behavior issue.
48,0004,full,AUR install: systemd service failed at install time because D-Bus had not restarted yet. Maintainer noted rebooting resolves it (D-Bus restart) and that the service waits for autoload commands anyway. Docs gap: add reboot-or-restart-dbus note to AUR/post-install instructions.
49,0004,full,Request for space-as-modifier: Space=Space when tapped but Space+J=Left etc. when combined. Complex feature; maintainer explained architectural difficulty. Eventually solved via set/ifeq macros and later if_single. Also: input lag reported with macro injection on Ubuntu 5.8 kernel; not reproducible by maintainer on same kernel.
50,0004,full,Request for focus-dependent preset switching. Same Wayland limitation as #32: window focus not accessible via Wayland. Wontfix for Wayland; possible with X11 workarounds.
53,0004,full,Ubuntu 20.04: system error dialog on login due to a crash in the service. Maintainer pushed fix to main; not yet in the 0.7.0 .deb release. Regression in startup handling.
56,0004,full,How to switch presets per focused application? Maintainer confirmed not possible on Wayland; pointed to CLI docs. Docs gap: FAQ entry for Wayland limitation on per-app presets.
57,0004,full,Mappings not reapplied when device is unplugged and replugged. Reporter updated to 0.7.0 to check; no follow-up. Autoload-on-reconnect behavior was supposed to be addressed in 0.7.0 udev fix; edge case may remain.
58,0004,full,Apple keyboard left Super key not detected in UI; right Super worked. Root cause: conflict with GNOME Tweaks settings intercepting the key before evdev. Separately: all keys stopped working intermittently after applying mapping. User reported Tweaks fix resolved both.
59,0004,full,Keys stuck/repeating after injection: mapped key kept sending repeat events. Maintainer pushed fix to main. Side discussion: writing characters from a non-default keyboard layout requires xkb work; workaround with setxkbmap layout switching explored but not implemented.
60,0004,full,Razer Basilisk V2 Hypershift button not detected in key-mapper. Root cause: Hypershift is a firmware-level feature; the button doesn't send an evdev event to the OS. Cannot be mapped. Resolved by switching to a different firmware profile that sends standard events.
61,0005,full,Request to duplicate presets. Maintainer implemented Ctrl+click on New button; released in 0.7.1.
64,0005,full,Continuation of #60: Hypershift button on Basilisk V2. Reporter found a different firmware profile where the button sends RIGHTCTRL. Resolved via firmware profile selection; not a key-mapper fix.
65,0005,full,"UI improvement requests: about popup, keyboard shortcuts, auto-save on apply, save-button improvements, delete confirmation. Maintainer implemented all requested items over several days."
66,0005,full,UInput device name too long (>80 chars) for Microsoft 2.4GHz Transceiver v9.0. Reported then self-resolved. PR potential: truncate device names to 80 chars in uinput creation.
67,0005,full,Request for --version CLI argument. Already implemented on a branch about to be released.
68,0005,full,"Request to disable/reserve a key as a pure modifier (caps lock as modifier, no default action). Maintainer pointed to ""disable"" mapping option in docs. UI discoverability gap: ""disable"" keyword not obvious, searching for ""ignore"" or ""no key"" didn't work."
69,0005,full,"Keys not detected in UI after first Apply. Root cause: injection was active, so the device was grabbed. Must use Restore Defaults to temporarily release the grab. Documented in usage.md but UI could be clearer."
70,0005,full,"External contributor shared a related project (evdevremapkeys) with potentially helpful patterns: static binary building, systemd user service, and udev uaccess rules for device permissions."
71,0005,full,Request for i18n/translation support. Maintainer deferred to after 1.0.0; community member contributed gettext setup but it stalled. Eventually added.
72,0005,full,Request for preset switching via mapping (layers). Maintainer explained slowness and key-stuck risk of mid-use preset change. Workaround: use CLI + desktop keyboard shortcuts for infrequent switching; or use set/ifeq macros for in-macro layer simulation.
73,0005,full,VR controller (EGV101) over Bluetooth: most buttons not detected in UI due to mode-switching changing device capabilities on the fly. Multiple debug rounds. Fixed via branch joystick-correct-abs-range and merged to main.
74,0005,full,"8BitDo SN30 Pro+ gamepad joystick-as-mouse not working; then after fix, only moved right/down (left/up ignored). Root: abs range handling bug and sign inversion. Fixed in joystick-correct-abs-range branch."
75,0006,full,Request to refresh the device list from the GUI without restarting the app. No maintainer response visible; still open. PR potential: add a refresh button to device list.
76,0006,full,"DataFrog gamepad D-Pad not detected: D-pad uses joystick axes (ABS), not button events. Fixed in joystick-correct-abs-range branch; all four directions need correct axis range handling."
77,0006,full,.deb install failed with pkg_resources error on some Ubuntu versions. Maintainer asked for logs; reporter found building .deb from source worked. Separate question about Wacom Intuos touchstrip/ring events never resolved.
78,0006,full,YubiKey and similar security keys showing up in device list unnecessarily. Maintainer added filtering by vendor ID for known security devices.
79,0006,full,Request to map mouse movement (REL_X/Y) to scroll wheel or joystick. Maintainer prototyped map-mouse-movement branch; eventually added to beta/v2 as RelToRelHandler. Released later.
80,0006,full,"Plugin support request: run code during injection, add new macro syntax, sandboxed python process. Maintainer acknowledged Consumer base class exists; design discussion only."
81,0006,full,How to uninstall when setup.py was used (not apt/pip). Maintainer provided workaround (find + rm). setup.py removed from docs. Docs gap: uninstall instructions for unusual install methods.
83,0006,full,Request for RPM packaging for Fedora. Community members contributed COPR repo and spec file discussions. Also surfaces python-evdev upstream maintenance concern (gvalkov). Maintainer added as co-maintainer of python-evdev to unblock.
84,0006,full,Gamepad joystick mapped to keys: autorepeat stops on joystick return-to-center (no key-up event matches the repeat logic). Device limitation for analog-to-digital events.
85,0006,full,"Fedora: pip install as root put module in /root/.local/lib, not accessible to regular user. pip on Fedora installs to user-local paths even for root. Workaround: setup.py install. Waiting on RPM packaging (#83)."
88,0006,full,"Request for evdev event monitor/viewer in the GUI (show currently pressed keys, help debug n-key rollover). Mentioned as potential addition to about/help popup."
89,0006,full,Frame drops in Minecraft when pressing keys mapped to LeftCtrl or CapsLock on Manjaro+GNOME. Maintainer said key-mapper should not cause this; suspected GNOME or xkb. Not reproducible; no follow-up.
90,0007,full,"Design note: a helper tab to look up symbol names and macro syntax (e.g. enter a character, get all key names and m()/+ syntax). Proposed for the about/help popup."
91,0007,full,Keyboard layers: toggle a key to switch between two key layouts (e.g. right-alt enables numpad). Closed as duplicate of #72. Workaround via set+ifeq macros demonstrated by maintainer. UI design for layers discussed but not implemented.
93,0007,full,"Two identical gamepads (SPEEDLINK TORID) with separate USB receivers shown as one device in the UI. Root: device deduplication used only name, not physical path. Fixed in getdevices-duplicate-2 branch by adding device.phys to the identity; presets shared by model name, autoload differentiated by physical path."
94,0007,full,Settings not persisting after reboot on Manjaro+GNOME+Wayland. User had not enabled the Autoload toggle. Classic onboarding gap; the UI could make autoload more discoverable on first use.
95,0007,full,"Mapping templates: pre-defined groups of commonly used key assignments (WASD, arrow keys, numpad) selectable from a dropdown. Maintainer noted this could be a small popup window in the new beta GUI."
98,0007,full,AUR package: /lib already present in filesystem (Arch symlink conflict). Maintainer pushed fix; confirmed resolved.
99,0007,full,Mouse speed/sensitivity adjustment and custom acceleration profiles. Maintainer noted it was possible but deferred. Implemented in beta branch as RelToRelHandler with configurable sensitivity and acceleration profiles.
100,0007,full,"How to map mouse button press and release separately. Maintainer explained m(a, h()).k(b) syntax: m injects key-down, h() holds until release, k(b) fires on release. Also noted that context-menu release behavior is GTK/Qt responsibility, not key-mapper's."
101,0007,full,"Unicode input macro (Ctrl+Shift+U+hex). Maintainer showed it was technically doable but declined: application-dependent behavior (breaks in IntelliJ), not a general solution."
102,0007,full,Presentation remote joystick (EV_REL mouse movement) not detectable in key-mapper. Same root as #79: mouse movement (REL) events not yet mappable in this version. Resolved later in beta.
103,0007,full,Side mouse button not mapping unless another button held first. Resolved by installing third-party Razer drivers; device reported events differently without them.
104,0007,full,How to toggle injection on/off via CLI shortcut. Maintainer pointed to CLI docs (key-mapper-control --command stop/autoload). User solved with desktop keyboard shortcut. Also: cross-device combinations (keyboard + trackpad) noted as not yet supported (then added in a later update via macros spanning multiple devices).
107,0008,full,Autoload not working on Arch+GNOME 40 after reboot (0.8.1). Multiple debug rounds; root cause was a race: udev-triggered autoload fired before user session was ready. Maintainer found and pushed fix. Pattern: autoload timing on login continues to be fragile.
109,0008,full,"Macro editor: multiline editor with syntax highlighting, autocompletion, line numbers, comments support. Major UI design discussion with jonasBoss. Implemented in only-the-advanced-editor branch using GtkSourceView4. Eventually merged to main. GtkSourceView4 added as a dependency."
110,0008,full,"xinput properties (acceleration, transformation matrix) stopped working after applying a key-mapper preset because device ID changes. Same pattern as #24: key-mapper creates new virtual devices. Workaround: use new mapped/forwarded device IDs. Plugin support would make this automatic."
112,0008,full,Cannot map extra mouse buttons to BTN_MIDDLE or other mouse buttons in the GUI dropdown. The GUI did not show mouse button outputs as valid targets. PR potential: add mouse button output options to the mapping target list.
114,0008,full,"~/.Xmodmap interferes with key-mapper on Wayland in KDE Plasma: key-mapper uses xmodmap -pke to build the key name list, which is wrong when Xmodmap has been applied. On Wayland the Xmodmap file has no effect but xmodmap -pke still shows its values. Need to detect Wayland+KDE and use a different key lookup method."
115,0008,full,Add polkit rules note to README so users can skip the password prompt. Maintainer noted security concern (root access without auth = keylogger risk). Commenter noted it's similar to NOPASSWD in sudoers. Not implemented.
116,0008,full,Desktop notification when a device is mapped/unmapped. Maintainer noted it might be possible via gi/GNOME Notify from the udev handler. Still open.
117,0008,full,Sway/Wayland on Arch: no graphical polkit agent installed so key-mapper-gtk pkexec fails silently. Workaround: sudo -E input-remapper-gtk. Docs gap: mention graphical polkit agent requirement for Wayland/Sway.
118,0008,full,"PostmarketOS phone: trying to use touchscreen tap as BTN_LEFT for key-mapper capture. Restore Defaults button greyed out. Maintainer helped debug but ultimately phone environment (Phosh, uinput availability) outside supported scope."
120,0008,full,"Tap-vs-hold binding: tap sends one key, hold sends another. Maintainer prototyped complex set/ifeq workaround. Eventually implemented cleanly as if_tap macro function and released."
122,0008,full,PostmarketOS (non-systemd): rc-service could not find key-mapper. Root: key-mapper's D-Bus setup assumes systemd. Workaround: sudo key-mapper-service -d. Also: uinput module not loaded on phone; modprobe uinput fixed injection. Maintainer noted modprobe uinput could be part of service startup.
123,0008,full,"Two identical joysticks (Thrustmaster T.16000M) share the same preset files. User confused that selecting device 2 shows device 1's mappings. Maintainer explained design: presets shared by model, different mappings via separate preset names. Workaround: use Copy to create a separate preset for each."
124,0009,full,"Trackball scroll-wheel emulation: gsettings scroll-wheel-emulation-button not compatible with key-mapper virtual devices on Wayland. Root: gsettings applies to physical devices, not to key-mapper's virtual forwarded device. Beta RelToRelHandler is a future solution."
125,0009,full,PostmarketOS continuation: cursor not moving because the phone has no EV_REL-capable device after injection. Maintainer confirmed this is outside scope; user eventually resolved partial functionality.
126,0009,full,ctrl+hjkl as arrow keys fails because ctrl modifier state is passed through to injected keys (ctrl+left = word-skip). Solution: also disable ctrl_l in the mapping or map it to ctrl_l with combination disabled. X11/DE interprets injected key + held ctrl as ctrl+key.
128,0009,full,Frame drops for a few seconds after switching presets via xdotool script on X11. Events appear correct in evtest so key-mapper is working; the freeze is in the X11/GNOME layer. Maintainer acknowledged but cannot debug X11 internals. Works fine in fullscreen; windowed Wine games affected.
131,0009,full,"After applying a preset, all unmapped keys stop producing output in the DE (though evtest shows events from the forwarded device). Maintainer created ""environment incompatibility"" label; root cause in GNOME/X11, not key-mapper. Intermittent."
135,0009,full,"How to find valid mapping targets (key names, modifiers). Maintainer pointed to --symbol-names CLI and usage.md. User suggestion: link to this from the GUI. Doc gap: key names section hard to find in README."
136,0009,full,"Configure output key by pressing it on any device (instead of typing the name). E.g. click mapping column then press Ctrl+A on keyboard to enter ""Control_L + a"". Depends on #109 macro editor."
140,0009,full,External USB devices freeze in GNOME after key-mapper restarts injection (e.g. on USB hub reconnect). evtest shows events being written correctly; GNOME stops accepting them. Autoload via udev rule may fire too quickly before devices are ready. Workaround: delay autoload by a few seconds. Long-running issue affecting USB KVM users.
142,0009,full,AUR install failed due to invalid PO translation file syntax (it_IT.po). Fixed via PR #143.
144,0009,full,"Kubuntu+KDE: scroll events from key-mapper virtual device don't change scroll focus in apps unless the pane was explicitly clicked first. Works on physical device. Likely a KDE/Qt behavior: focus-follows-hover only for native devices, not virtual uinput. Not reproducible by maintainer on GNOME. Environment incompatibility."
145,0009,full,~/.XCompose rules ignored while key-mapper daemon is active. Root: XCompose applies to specific X11 device IDs; key-mapper's virtual injection device gets a new ID not covered by XCompose config. Same pattern as xinput device ID changes.
146,0009,full,"Per-application preset switching. Standard answer (sixth time seen): not possible on Wayland, Wayland hides window focus. Maintainer linked to the same discussions (#20, #32, #50, #56)."
147,0010,full,Meta issue: maintainer asking for help from X/GNOME/Wayland/KDE internals experts. Lists all known environment-incompatibility problems that are in the DE's territory. Confirms a cluster of issues maintainer cannot fix without external expertise.
148,0010,full,Razer DeathAdder Elite: middle mouse button eventually worked; DPI buttons have no evdev events (firmware-level feature). Same wontfix pattern as Hypershift.
150,0010,full,gettext dependency missing in Ubuntu/Debian build. Fixed (brief report).
151,0010,full,"Cross-device macro syntax confusion: user did not understand that ""foo/bar"" in examples are variable placeholders. Also: set+ifeq only works in version ≥0.8.1; user on old version. Docs gap: clarify macro variable placeholder naming convention."
152,0010,full,Applying a preset changes the keyboard layout to German on a US+German locale system. Root: X11/GNOME assigns a keyboard layout to the new virtual uinput device based on system locale; key-mapper has no control over which layout is applied to its virtual device.
153,0010,full,How to do autofire (hold key = repeat output). Answer: h(k(space)). Self-answered. Docs gap in the macro README.
154,0010,full,Autoload not working on startup; Razer Tartarus. Device path mixed up at login (NVidia device in event6 conflicting). Eventually resolved on its own; suspicion of a timing issue. Pattern: device paths assigned differently at boot vs login on some systems.
155,0010,full,"Modifier key used in combination source leaks through to output (Alt+j mapped to Down, but Alt is still held → Alt+Down in browser). Documented behavior: must also disable or remap the modifier key. Docs gap: combination side-effects not prominent enough."
159,0010,full,Combination release fires the base key even when a chord was used (fn3 → BTN_MIDDLE fires on fn3 release regardless). Maintainer explained this is expected: combination does not consume the base key's release. Docs gap: combination release behavior not documented.
160,0010,full,LED control in macros (Num/Caps/Scroll lock LEDs). Maintainer left design notes; contributor started working on it via EV_LED injection. PR in progress on a branch. Contributor ran into asyncio complexity.
161,0010,full,"key-mapper-control --command start not discovered; user didn't know --command start preset_name syntax. Eventually wanted per-game preset loading (per-app, wontfix on Wayland). Self-resolved via docs."
162,0010,full,h(k(BTN_MOUSE)) fires clicks too fast; environment batches them so only one click is perceived. Workaround: h(k(BTN_MOUSE).w(500)) adds a delay. Environment coalesces rapid mouse button events. Docs gap: add w() delay note to autofire examples.
170,0011,full,Missing libgtk-3-0 dependency in deb; only libgtk-3-dev was listed. Most users had it already. Fixed by adding libgtk-3-0 to DEBIAN/control in 1.1.0.
171,0011,full,"Fedora: pip install failed because python3-devel (C headers) not installed, blocking evdev compilation. Also: setup.py installs to site-packages path not found by systemd service. Multiple reporters. Workaround: install python3-devel first, or use python3-evdev RPM package. Root cause: no official RPM package."
172,0011,full,Pop!_OS 21.04: systemd service file not found at install time. Maintainer's debug path was systemctl daemon-reload; one reporter resolved by switching to Arch; another resolved by reinstalling without conda environment.
173,0011,full,text() macro: type a string of characters instead of k(a).k(b).k(c)... Maintainer pointed to where to contribute; partial implementation notes. PR potential: add text() macro function with simple ASCII support.
175,0011,full,Razer DeathAdder Chroma wheel click not mappable. Resolved: user had injection active; needed to click Restore Defaults first before the GUI could detect button presses. Recurring docs gap.
176,0011,full,release() macro: release a modifier that was forwarded before a combination triggers. Design discussion. Workaround: k(modifier).h(char) pattern works in practice.
177,0011,full,"Help wanted document: lists ways to contribute (answer discussions, translations, provide a device for testing, help with X11/GNOME internals). Meta issue."
180,0011,full,How to remap a broken physical key: user confused direction (mapping TO a broken key is impossible; mapping FROM a broken key via another device is possible). Docs gap: direction of remapping not clearly stated.
181,0011,full,"Fedora 34: pip install evdev fails without python3-devel. Also: setup.py installs service file to wrong path on Fedora (not found by systemd). Multiple reporters. Community workaround: install python3-devel, then pip3 install evdev. Upstream python-evdev also has no Fedora maintainer."
183,0011,full,"Space Cadet Shift (tap=parenthesis, hold=modifier). Drove the design and implementation of if_tap and if_single macro functions. Released in 1.2.0. Major macro architecture improvement. Cross-device combination still a design challenge."
184,0011,full,polkit-agent-helper-1 pam_authenticate failed on Arch+X11. Maintainer asked if pkexec works for any other app; no follow-up. Likely a local PAM/polkit config issue.
185,0011,full,"GNOME Ubuntu Wayland: ""Disable touchpad while typing"" stopped working after applying a preset. Root: key-mapper's forwarded keyboard device lacks the input_id properties (vendor, product, bustype) that libinput/GNOME uses to identify it as a real keyboard. Fixed in copy-props branch by copying input_id from the original device to the forwarded uinput. Merged to main."
186,0012,full,"Macro variable reference syntax: proposal for $ or * prefix for variable interpolation (e.g. w($a), k($a)). Maintainer chose $. Implemented and documented."
187,0012,full,"Logitech G910 G-Keys (G1-G9) report as F1-F9 in evtest because the firmware maps them at hardware level. key-mapper sees F1-F9, cannot distinguish G1 from F1. Only solution is a custom Logitech driver or firmware profile reprogramming. Wontfix in key-mapper."
191,0012,full,"Discussion about offline vs online docs for macro reference, especially for i18n purposes. Decided to link online English docs from the help window for now."
192,0012,full,Technical investigation: should key-mapper use ID_INPUT_* udev attributes (via pyudev) instead of its own classify() function for device type detection? Would make classification match what GNOME/KDE use. Also notes tablet/mouse dual-classification issue from #36.
195,0012,full,"Cannot map > or $ characters directly. Maintainer explained: KEY_DOLLAR/KEY_GREATER are kernel codes; whether they produce the symbol depends on the keyboard layout in the environment. Solution: use xmodmap-based names (e.g. ""less"") or macro with Shift_L+key combination. Docs gap: xmodmap vs KEY_ naming distinction."
196,0012,full,Per-window preset/layout switching. Seventh instance of this wontfix answer on Wayland.
197,0012,full,"Arch/KDE+Bluetooth: keyboard and mouse stop working after reboot until udev timeout expires. Root: udev rule fires key-mapper-control before the service is ready to accept D-Bus connections; D-Bus call blocks until udev timeout. Multiple fixes pushed: shorter timeouts, lazy device info loading, SharedDict elimination, better udev control logging. Long debugging session; issue partially resolved."
198,0012,full,"Toggle-lock button: press once to hold a key, press again to release. Workaround using set/if_eq macros. key_down() and key_up() macro functions added to simplify this."
199,0012,full,Cannot edit active mapping (buttons unrecognized). Same recurring issue: must click Restore Defaults to release device grab before re-editing. UI message at bottom informs about this but is easy to miss.
200,0012,full,Mouse wheel mapped buttons only scroll once then stop responding for ~30 seconds. Looks like a timing or release-event bug in scroll event injection. Logs shared but no fix visible.
201,0012,full,"Holding Shift+mapped combination: after the combo macro runs, subsequent unmapped keys lose the shift modifier. Root: k(Shift_L) in macro sends complete press+release, so shift is down on the ""forwarded"" device but already released on the ""mapped"" device. Workaround: end the macro with e(EV_KEY, KEY_LEFTSHIFT, 1) to re-press shift. key_down() would simplify this pattern."
202,0012,full,duckyPad macropad shown as Mouse in UI because it exposes mouse capabilities even though it's primarily a keyboard. key-mapper's classification prioritizes non-keyboard capabilities; cannot infer primary function without firmware knowledge.
203,0013,full,Per-application auto-profile switching. Eighth wontfix on Wayland. Community proposed X11-only script using xdotool; maintainer said CLI + examples.md is the right vehicle for this.
204,0013,full,"Fedora: pip install fails, python-evdev not found. python3-devel required for evdev C extension. setup.py install works but uninstall is painful. Same Fedora install cluster."
205,0013,full,"Use ""key-mapper keyboard/mouse/gamepad"" device names instead of ""mapped/forwarded"". Design discussion: persistent global uinput devices vs per-injection devices. Tradeoff: persistent devices would allow reusing devices across injection restart (faster switching) but loses per-device property copying."
206,0013,full,Logitech MX Master 2S second scroll wheel (thumb wheel) not separately addressable in evtest (same events as main wheel). Only Logitech-specific driver (libratbag/piper) or firmware reprogramming could differentiate them. Wontfix.
207,0013,full,Search/filter the mapping table. For users with many mappings. Maintainer proposed jump-to-match style. PR potential: add search field that filters or jumps to mappings.
208,0013,full,Service startup timed out. Likely python-evdev compilation issue (same as #23 cluster). Maintainer recommended using distro package (python-evdev from pacman/apt) instead of pip-compiled version.
209,0013,full,"Can arbitrary Unicode characters (emoji, coins) be mapped? Maintainer explained: key-mapper sends keycodes, environment decides the symbol; no keycode exists for emoji. Workaround: Ctrl+Shift+U+codepoint (GTK-specific, risky). Docs gap: explicit statement that emoji/arbitrary Unicode is not generally supported."
210,0013,full,Cyrillic symbols and tilde (~) not mappable directly on Linux Mint/Cinnamon with Russian+English layout. Root: xmodmap-based key names depend on active layout; tilde not in xmodmap output. Maintainer explained the xmodmap-based lookup and KEY_ vs xmodmap distinction. Multi-layout complexities not fully resolved.
211,0013,full,GTK CSS deprecation warning blocked startup because psutil was still required. Maintainer removed psutil dependency.
212,0013,full,Sway on Arch: autoloading on startup not working. Root: Sway affects environment variables that some systemd units depend on for X/Wayland detection; key-mapper-service starts before Sway but the .desktop autoload runs after Sway login. Workaround: run key-mapper-control --command autoload from ~/.profile or Sway autostart. Docs gap: document non-systemd-autostart environments.
213,0013,full,"CentOS 7, Python 3.6, offline: setup.py failed with ""not a git repository"" because commit_hash.py generation requires git. Workaround: initialize git repo first. Also: evdev C compilation issue on Python 3.6. Very old/constrained environment."
216,0013,full,"User confused ""keymapper"" (https://github.com/houmain/keymapper) with input-remapper. Different project, one letter difference in name. Maintainer identified the confusion and closed."
217,0014,full,"Arch+KDE: pkexec authentication fails with ""access denied"" even with wheel group membership. Maintainer said this shouldn't be a key-mapper issue; probably a polkit or PAM configuration problem specific to the user's system."
218,0014,full,"Project rename discussion: ""key-mapper"" → ""Input Remapper"". Community preferred ""Input Remapper"" over ""Keycode Mapper"". Renamed in 1.3.0. GitHub redirects handle old links. Also drove the Python package rename to input_remapper."
