item_n,facet,value
11,pr_potential,docs-fix
12,cause,device-quirk
12,cause,missing-feature
12,component,injector
12,component,reader
12,conf,stated
12,device_type,mouse
12,impact,broken-remap
12,kind,bug
12,layer,injector
12,layer,reader
12,outcome,fixed
12,pr_potential,unknown
12,symptom,mapping-not-working
13,cause,device-quirk
13,cause,missing-feature
13,component,injector
13,component,reader
13,conf,stated
13,device_type,mouse
13,impact,broken-remap
13,kind,bug
13,layer,injector
13,layer,reader
13,outcome,fixed
13,pr_potential,unknown
13,symptom,mapping-not-working
15,cause,missing-feature
15,component,service
15,conf,stated
15,de_os,openrc
15,kind,feature-request
15,layer,install
15,outcome,open
15,pr_potential,code-fix
16,cause,doc-gap
16,conf,stated
16,kind,question
16,layer,macro
16,outcome,docs-answer
16,pr_potential,docs-fix
17,cause,config-error
17,conf,stated
17,kind,question
17,layer,daemon
17,outcome,docs-answer
17,pr_potential,docs-fix
18,cause,doc-gap
18,conf,stated
18,kind,question
18,layer,daemon
18,outcome,docs-answer
18,pr_potential,docs-fix
19,cause,distro-compat
19,cause,permission
19,component,gui-app
19,conf,stated
19,de_os,ubuntu
19,impact,install-blocked
19,kind,support
19,layer,install
19,outcome,fixed
19,pr_potential,unknown
19,symptom,install-fail
21,cause,missing-feature
21,cause,permission
21,conf,stated
21,kind,feature-request
21,layer,install
21,outcome,wontfix
21,pr_potential,wontfix
22,cause,doc-gap
22,conf,stated
22,kind,question
22,outcome,docs-answer
22,pr_potential,docs-fix
23,cause,distro-compat
23,cause,evdev-api
23,component,service
23,conf,stated
23,de_os,ubuntu
23,impact,install-blocked
23,kind,bug
23,layer,daemon
23,layer,install
23,outcome,fixed
23,pr_potential,unknown
23,symptom,daemon-not-starting
24,cause,doc-gap
24,conf,stated
24,device_type,mouse
24,kind,question
24,layer,device
24,layer,injector
24,outcome,docs-answer
24,pr_potential,docs-fix
25,cause,autoload-failure
25,cause,device-quirk
25,component,service
25,conf,stated
25,de_os,gnome
25,de_os,ubuntu
25,device_type,keyboard
25,device_type,mouse
25,impact,broken-remap
25,kind,bug
25,layer,daemon
25,layer,device
25,outcome,fixed
25,pr_potential,unknown
25,symptom,mapping-not-working
27,cause,device-quirk
27,cause,evdev-api
27,conf,stated
27,impact,broken-remap
27,kind,bug
27,layer,reader
27,outcome,wontfix
27,pr_potential,upstream-dep
27,symptom,device-not-detected
28,cause,config-error
28,cause,distro-compat
28,component,gui-app
28,conf,stated
28,de_os,arch
28,impact,install-blocked
28,kind,bug
28,layer,gui
28,outcome,fixed
28,pr_potential,unknown
28,symptom,gui-crash
29,cause,distro-compat
29,cause,permission
29,component,service
29,conf,stated
29,de_os,arch
29,impact,install-blocked
29,kind,bug
29,layer,permissions
29,outcome,fixed
29,pr_potential,docs-fix
29,symptom,permission-error
30,cause,missing-feature
30,component,macros
30,conf,stated
30,kind,feature-request
30,layer,combination
30,layer,macro
30,outcome,fixed
30,pr_potential,unknown
32,cause,missing-feature
32,cause,wayland-issue
32,conf,stated
32,kind,feature-request
32,layer,mapping
32,outcome,open
32,pr_potential,needs-design
33,cause,symbol-mapping
33,cause,x11-issue
33,component,keycodes
33,conf,stated
33,impact,partial-remap
33,kind,bug
33,layer,injector
33,layer,mapping
33,outcome,fixed
33,pr_potential,unknown
33,symptom,mapping-not-working
35,cause,regression
35,component,injector
35,conf,stated
35,device_type,mouse
35,impact,broken-remap
35,kind,bug
35,layer,injector
35,outcome,fixed
35,pr_potential,unknown
35,symptom,key-stuck
36,cause,device-quirk
36,component,injector
36,conf,stated
36,device_type,tablet
36,impact,broken-remap
36,kind,bug
36,layer,device
36,layer,injector
36,outcome,fixed
36,pr_potential,unknown
36,symptom,lag
36,symptom,mapping-not-working
37,cause,missing-feature
37,component,injector
37,component,reader
37,conf,stated
37,device_type,mouse
37,kind,feature-request
37,layer,injector
37,layer,reader
37,outcome,fixed
37,pr_potential,unknown
40,cause,distro-compat
40,component,ci-build
40,conf,stated
40,kind,meta
40,layer,install
40,outcome,fixed
40,pr_potential,unknown
41,cause,distro-compat
41,component,gui-app
41,conf,stated
41,de_os,arch
41,impact,install-blocked
41,kind,bug
41,layer,install
41,outcome,fixed
41,pr_potential,unknown
41,symptom,install-fail
42,cause,symbol-mapping
42,cause,x11-issue
42,component,keycodes
42,conf,inferred
42,kind,meta
42,layer,mapping
42,outcome,open
42,pr_potential,needs-design
43,cause,de-compat
43,cause,permission
43,component,gui-app
43,conf,inferred
43,de_os,fedora
43,kind,bug
43,layer,install
43,outcome,unknown
43,pr_potential,unknown
44,cause,ui-logic
44,component,gui-app
44,conf,stated
44,de_os,fedora
44,impact,ui-bug
44,kind,bug
44,layer,gui
44,outcome,fixed
44,pr_potential,unknown
44,symptom,gui-crash
46,cause,macro-logic
46,component,macros
46,conf,stated
46,device_type,gamepad
46,impact,partial-remap
46,kind,bug
46,layer,injector
46,layer,macro
46,outcome,fixed
46,pr_potential,unknown
46,symptom,key-stuck
47,cause,macro-logic
47,component,macros
47,conf,stated
47,de_os,ubuntu
47,impact,partial-remap
47,kind,bug
47,layer,injector
47,layer,macro
47,outcome,fixed
47,pr_potential,unknown
47,symptom,key-stuck
48,cause,distro-compat
48,component,service
48,conf,stated
48,de_os,arch
48,kind,bug
48,layer,daemon
48,outcome,workaround
48,pr_potential,docs-fix
48,symptom,daemon-not-starting
49,cause,missing-feature
49,component,macros
49,conf,stated
49,impact,partial-remap
49,kind,feature-request
49,layer,combination
49,layer,macro
49,outcome,fixed
49,pr_potential,unknown
49,symptom,lag
50,cause,missing-feature
50,cause,wayland-issue
50,conf,stated
50,kind,feature-request
50,layer,mapping
50,outcome,open
50,pr_potential,needs-design
53,cause,regression
53,component,service
53,conf,stated
53,de_os,ubuntu
53,kind,bug
53,layer,daemon
53,outcome,fixed
53,pr_potential,unknown
53,symptom,daemon-not-starting
56,cause,doc-gap
56,cause,wayland-issue
56,conf,stated
56,kind,question
56,layer,mapping
56,outcome,docs-answer
56,pr_potential,docs-fix
57,cause,autoload-failure
57,component,service
57,conf,inferred
57,kind,bug
57,layer,daemon
57,layer,device
57,outcome,open
57,pr_potential,unknown
58,cause,de-compat
58,cause,device-quirk
58,conf,inferred
58,device_type,keyboard
58,kind,bug
58,layer,device
58,layer,reader
58,outcome,workaround
58,pr_potential,unknown
59,cause,macro-logic
59,cause,symbol-mapping
59,component,injector
59,component,macros
59,conf,stated
59,impact,partial-remap
59,kind,bug
59,layer,injector
59,layer,macro
59,outcome,fixed
59,pr_potential,unknown
59,symptom,key-stuck
60,cause,device-quirk
60,conf,stated
60,device_type,mouse
60,impact,broken-remap
60,kind,bug
60,layer,reader
60,outcome,wontfix
60,pr_potential,upstream-dep
60,symptom,device-not-detected
61,cause,missing-feature
61,component,gui-app
61,conf,stated
61,kind,feature-request
61,layer,gui
61,outcome,fixed
61,pr_potential,unknown
64,cause,device-quirk
64,conf,stated
64,device_type,mouse
64,impact,broken-remap
64,kind,bug
64,layer,reader
64,outcome,wontfix
64,pr_potential,upstream-dep
64,symptom,device-not-detected
65,cause,missing-feature
65,component,gui-app
65,conf,stated
65,kind,feature-request
65,layer,gui
65,outcome,fixed
65,pr_potential,unknown
66,cause,device-quirk
66,component,injector
66,conf,inferred
66,device_type,keyboard
66,impact,broken-remap
66,kind,bug
66,layer,injector
66,outcome,workaround
66,pr_potential,code-fix
67,cause,missing-feature
67,conf,stated
67,kind,feature-request
67,layer,config
67,outcome,fixed
67,pr_potential,unknown
68,cause,doc-gap
68,conf,stated
68,kind,question
68,layer,mapping
68,outcome,docs-answer
68,pr_potential,docs-fix
69,cause,doc-gap
69,conf,stated
69,impact,ui-bug
69,kind,question
69,layer,gui
69,outcome,docs-answer
69,pr_potential,docs-fix
69,symptom,mapping-not-working
70,cause,doc-gap
70,conf,inferred
70,kind,meta
70,outcome,unknown
70,pr_potential,unknown
71,cause,missing-feature
71,component,gui-app
71,conf,stated
71,kind,feature-request
71,layer,gui
71,outcome,fixed
71,pr_potential,unknown
72,cause,missing-feature
72,component,service
72,conf,stated
72,kind,feature-request
72,layer,daemon
72,layer,mapping
72,outcome,workaround
72,pr_potential,needs-design
73,cause,device-quirk
73,component,reader
73,conf,stated
73,device_type,gamepad
73,impact,broken-remap
73,kind,bug
73,layer,device
73,layer,reader
73,outcome,fixed
73,pr_potential,unknown
73,symptom,device-not-detected
74,cause,device-quirk
74,component,injector
74,conf,stated
74,device_type,gamepad
74,impact,broken-remap
74,kind,bug
74,layer,device
74,layer,injector
74,outcome,fixed
74,pr_potential,unknown
74,symptom,mapping-not-working
75,cause,missing-feature
75,component,gui-app
75,conf,stated
75,kind,feature-request
75,layer,gui
75,outcome,open
75,pr_potential,code-fix
76,cause,device-quirk
76,component,reader
76,conf,stated
76,device_type,gamepad
76,impact,broken-remap
76,kind,bug
76,layer,device
76,outcome,fixed
76,pr_potential,unknown
76,symptom,device-not-detected
77,cause,distro-compat
77,component,ci-build
77,conf,inferred
77,de_os,ubuntu
77,device_type,tablet
77,impact,install-blocked
77,kind,bug
77,layer,install
77,outcome,open
77,pr_potential,unknown
77,symptom,install-fail
78,cause,missing-feature
78,component,reader
78,conf,stated
78,kind,feature-request
78,layer,reader
78,outcome,fixed
78,pr_potential,unknown
79,cause,missing-feature
79,component,injector
79,conf,stated
79,device_type,mouse
79,kind,feature-request
79,layer,injector
79,layer,mapping
79,outcome,fixed
79,pr_potential,unknown
80,cause,missing-feature
80,component,service
80,conf,stated
80,kind,feature-request
80,layer,daemon
80,outcome,open
80,pr_potential,needs-design
81,cause,doc-gap
81,conf,stated
81,kind,question
81,layer,install
81,outcome,docs-answer
81,pr_potential,docs-fix
83,cause,distro-compat
83,conf,stated
83,de_os,fedora
83,kind,meta
83,layer,install
83,outcome,open
83,pr_potential,code-fix
84,cause,device-quirk
84,conf,inferred
84,device_type,gamepad
84,kind,question
84,layer,device
84,outcome,unknown
84,pr_potential,unknown
85,cause,distro-compat
85,conf,stated
85,de_os,fedora
85,impact,install-blocked
85,kind,bug
85,layer,install
85,outcome,open
85,pr_potential,unknown
85,symptom,install-fail
88,cause,missing-feature
88,component,gui-app
88,conf,inferred
88,kind,feature-request
88,layer,gui
88,outcome,open
88,pr_potential,code-fix
89,cause,unknown
89,conf,inferred
89,de_os,arch
89,de_os,gnome
89,impact,perf
89,kind,bug
89,layer,injector
89,outcome,unknown
89,pr_potential,unknown
90,cause,missing-feature
90,component,gui-app
90,conf,inferred
90,kind,feature-request
90,layer,gui
90,outcome,open
90,pr_potential,code-fix
91,cause,missing-feature
91,component,macros
91,conf,stated
91,kind,feature-request
91,layer,macro
91,layer,mapping
91,outcome,workaround
91,pr_potential,needs-design
93,cause,device-quirk
93,component,reader
93,component,service
93,conf,stated
93,impact,broken-remap
93,kind,bug
93,layer,config
93,layer,device
93,outcome,fixed
93,pr_potential,unknown
93,symptom,device-not-detected
94,cause,doc-gap
94,conf,stated
94,de_os,arch
94,de_os,gnome
94,kind,question
94,layer,daemon
94,outcome,docs-answer
94,pr_potential,docs-fix
95,cause,missing-feature
95,component,gui-app
95,conf,inferred
95,kind,feature-request
95,layer,gui
95,outcome,open
95,pr_potential,code-fix
98,cause,distro-compat
98,component,ci-build
98,conf,stated
98,de_os,arch
98,impact,install-blocked
98,kind,bug
98,layer,install
98,outcome,fixed
98,pr_potential,unknown
98,symptom,install-fail
99,cause,missing-feature
99,component,injector
99,conf,stated
99,device_type,mouse
99,kind,feature-request
99,layer,injector
99,outcome,fixed
99,pr_potential,unknown
100,cause,doc-gap
100,conf,stated
100,kind,question
100,layer,macro
100,outcome,docs-answer
100,pr_potential,docs-fix
101,cause,missing-feature
101,component,macros
101,conf,stated
101,kind,feature-request
101,layer,macro
101,outcome,wontfix
101,pr_potential,wontfix
102,cause,device-quirk
102,cause,missing-feature
102,component,reader
102,conf,stated
102,device_type,mouse
102,impact,broken-remap
102,kind,bug
102,layer,reader
102,outcome,open
102,pr_potential,unknown
102,symptom,mapping-not-working
103,cause,device-quirk
103,cause,unknown
103,component,reader
103,conf,inferred
103,device_type,mouse
103,impact,broken-remap
103,kind,bug
103,layer,reader
103,outcome,fixed
103,pr_potential,unknown
103,symptom,mapping-not-working
104,cause,doc-gap
104,conf,stated
104,kind,question
104,layer,daemon
104,outcome,docs-answer
104,pr_potential,docs-fix
107,cause,autoload-failure
107,component,service
107,conf,stated
107,de_os,arch
107,de_os,gnome
107,impact,broken-remap
107,kind,bug
107,layer,daemon
107,outcome,fixed
107,pr_potential,unknown
107,symptom,mapping-not-working
109,cause,missing-feature
109,component,gui-app
109,component,macros
109,conf,stated
109,kind,feature-request
109,layer,gui
109,layer,macro
109,outcome,fixed
109,pr_potential,unknown
110,cause,doc-gap
110,conf,stated
110,device_type,mouse
110,kind,question
110,layer,device
110,outcome,docs-answer
110,pr_potential,docs-fix
112,cause,missing-feature
112,component,injector
112,conf,inferred
112,device_type,mouse
112,kind,feature-request
112,layer,mapping
112,outcome,open
112,pr_potential,code-fix
114,cause,wayland-issue
114,cause,x11-issue
114,component,keycodes
114,conf,stated
114,de_os,kde
114,de_os,wayland
114,kind,bug
114,layer,mapping
114,outcome,open
114,pr_potential,needs-design
115,cause,missing-feature
115,conf,stated
115,kind,feature-request
115,layer,permissions
115,outcome,open
115,pr_potential,needs-design
116,cause,missing-feature
116,component,service
116,conf,inferred
116,kind,feature-request
116,layer,daemon
116,outcome,open
116,pr_potential,code-fix
117,cause,de-compat
117,cause,permission
117,component,gui-app
117,conf,stated
117,de_os,arch
117,de_os,wayland
117,impact,install-blocked
117,kind,bug
117,layer,permissions
117,outcome,workaround
117,pr_potential,docs-fix
117,symptom,daemon-not-starting
118,cause,device-quirk
118,cause,doc-gap
118,conf,stated
118,device_type,mouse
118,kind,question
118,layer,reader
118,outcome,docs-answer
118,pr_potential,docs-fix
120,cause,missing-feature
120,component,macros
120,conf,stated
120,kind,feature-request
120,layer,macro
120,outcome,fixed
120,pr_potential,unknown
122,cause,distro-compat
122,cause,permission
122,component,service
122,conf,stated
122,de_os,openrc
122,impact,install-blocked
122,kind,support
122,layer,daemon
122,layer,permissions
122,outcome,workaround
122,pr_potential,docs-fix
122,symptom,daemon-not-starting
123,cause,config-error
123,cause,ui-logic
123,component,gui-app
123,conf,stated
123,impact,partial-remap
123,kind,bug
123,layer,config
123,layer,gui
123,outcome,workaround
123,pr_potential,docs-fix
124,cause,missing-feature
124,cause,wayland-issue
124,conf,stated
124,device_type,mouse
124,kind,feature-request
124,layer,device
124,layer,injector
124,outcome,open
124,pr_potential,needs-design
125,cause,distro-compat
125,cause,permission
125,component,service
125,conf,stated
125,de_os,openrc
125,impact,broken-remap
125,kind,support
125,layer,injector
125,layer,permissions
125,outcome,workaround
125,pr_potential,unknown
125,symptom,mapping-not-working
126,cause,doc-gap
126,cause,x11-issue
126,conf,stated
126,kind,question
126,layer,injector
126,layer,mapping
126,outcome,docs-answer
126,pr_potential,docs-fix
128,cause,de-compat
128,cause,unknown
128,conf,inferred
128,de_os,gnome
128,impact,perf
128,kind,bug
128,layer,injector
128,outcome,open
128,pr_potential,upstream-dep
131,cause,de-compat
131,conf,inferred
131,de_os,gnome
131,impact,broken-remap
131,kind,bug
131,layer,injector
131,outcome,open
131,pr_potential,upstream-dep
131,symptom,mapping-not-working
135,cause,doc-gap
135,conf,stated
135,kind,question
135,layer,mapping
135,outcome,docs-answer
135,pr_potential,docs-fix
136,cause,missing-feature
136,component,gui-app
136,conf,inferred
136,kind,feature-request
136,layer,gui
136,outcome,open
136,pr_potential,code-fix
140,cause,autoload-failure
140,cause,de-compat
140,component,service
140,conf,stated
140,de_os,gnome
140,de_os,ubuntu
140,impact,broken-remap
140,kind,bug
140,layer,daemon
140,layer,device
140,outcome,workaround
140,pr_potential,needs-design
140,symptom,mapping-not-working
142,cause,distro-compat
142,component,ci-build
142,conf,stated
142,de_os,arch
142,impact,install-blocked
142,kind,bug
142,layer,install
142,outcome,fixed
142,pr_potential,unknown
142,symptom,install-fail
144,cause,de-compat
144,conf,inferred
144,de_os,kde
144,impact,partial-remap
144,kind,bug
144,layer,injector
144,outcome,open
144,pr_potential,upstream-dep
144,symptom,mapping-not-working
145,cause,de-compat
145,cause,x11-issue
145,conf,inferred
145,impact,partial-remap
145,kind,bug
145,layer,mapping
145,outcome,open
145,pr_potential,upstream-dep
146,cause,missing-feature
146,cause,wayland-issue
146,conf,stated
146,kind,feature-request
146,layer,mapping
146,outcome,wontfix
146,pr_potential,wontfix
147,cause,de-compat
147,conf,inferred
147,kind,meta
147,outcome,open
147,pr_potential,needs-design
148,cause,device-quirk
148,component,reader
148,conf,stated
148,device_type,mouse
148,impact,broken-remap
148,kind,bug
148,layer,reader
148,outcome,wontfix
148,pr_potential,upstream-dep
148,symptom,device-not-detected
150,cause,distro-compat
150,component,ci-build
150,conf,inferred
150,de_os,ubuntu
150,impact,install-blocked
150,kind,bug
150,layer,install
150,outcome,fixed
150,pr_potential,unknown
150,symptom,install-fail
151,cause,doc-gap
151,conf,stated
151,kind,question
151,layer,macro
151,outcome,docs-answer
151,pr_potential,docs-fix
152,cause,de-compat
152,cause,x11-issue
152,conf,inferred
152,de_os,gnome
152,impact,partial-remap
152,kind,bug
152,layer,injector
152,outcome,open
152,pr_potential,upstream-dep
153,cause,doc-gap
153,conf,stated
153,kind,question
153,layer,macro
153,outcome,docs-answer
153,pr_potential,docs-fix
154,cause,autoload-failure
154,component,service
154,conf,inferred
154,de_os,fedora
154,impact,broken-remap
154,kind,bug
154,layer,daemon
154,outcome,unknown
154,pr_potential,unknown
154,symptom,mapping-not-working
155,cause,doc-gap
155,cause,x11-issue
155,conf,stated
155,kind,question
155,layer,mapping
155,outcome,docs-answer
155,pr_potential,docs-fix
159,cause,doc-gap
159,conf,stated
159,kind,question
159,layer,combination
159,layer,macro
159,outcome,docs-answer
159,pr_potential,docs-fix
160,cause,missing-feature
160,component,macros
160,conf,stated
160,kind,feature-request
160,layer,macro
160,outcome,open
160,pr_potential,code-fix
161,cause,doc-gap
161,conf,stated
161,kind,question
161,layer,daemon
161,outcome,docs-answer
161,pr_potential,docs-fix
162,cause,de-compat
162,cause,macro-logic
162,component,macros
162,conf,stated
162,impact,partial-remap
162,kind,bug
162,layer,macro
162,outcome,workaround
162,pr_potential,docs-fix
162,symptom,mapping-not-working
170,cause,distro-compat
170,component,ci-build
170,conf,stated
170,de_os,ubuntu
170,impact,install-blocked
170,kind,bug
170,layer,install
170,outcome,fixed
170,pr_potential,unknown
170,symptom,install-fail
171,cause,distro-compat
171,conf,stated
171,de_os,fedora
171,impact,install-blocked
171,kind,bug
171,layer,install
171,outcome,workaround
171,pr_potential,unknown
171,symptom,install-fail
172,cause,distro-compat
172,component,service
172,conf,inferred
172,de_os,ubuntu
172,impact,install-blocked
172,kind,bug
172,layer,daemon
172,layer,install
172,outcome,unknown
172,pr_potential,unknown
172,symptom,daemon-not-starting
173,cause,missing-feature
173,component,macros
173,conf,stated
173,kind,feature-request
173,layer,macro
173,outcome,open
173,pr_potential,code-fix
175,cause,doc-gap
175,conf,stated
175,device_type,mouse
175,kind,question
175,layer,reader
175,outcome,docs-answer
175,pr_potential,docs-fix
176,cause,missing-feature
176,component,macros
176,conf,stated
176,kind,feature-request
176,layer,injector
176,layer,macro
176,outcome,open
176,pr_potential,code-fix
177,cause,missing-feature
177,conf,inferred
177,kind,meta
177,outcome,open
177,pr_potential,unknown
180,cause,doc-gap
180,conf,stated
180,kind,question
180,layer,mapping
180,outcome,docs-answer
180,pr_potential,docs-fix
181,cause,distro-compat
181,cause,permission
181,conf,stated
181,de_os,fedora
181,impact,install-blocked
181,kind,bug
181,layer,install
181,outcome,workaround
181,pr_potential,unknown
181,symptom,install-fail
183,cause,missing-feature
183,component,macros
183,conf,stated
183,kind,feature-request
183,layer,macro
183,outcome,fixed
183,pr_potential,unknown
184,cause,de-compat
184,cause,permission
184,component,gui-app
184,conf,inferred
184,de_os,arch
184,impact,install-blocked
184,kind,bug
184,layer,permissions
184,outcome,unknown
184,pr_potential,unknown
185,cause,de-compat
185,cause,uinput-api
185,component,injector
185,conf,stated
185,de_os,gnome
185,de_os,ubuntu
185,impact,broken-remap
185,kind,bug
185,layer,device
185,layer,injector
185,outcome,fixed
185,pr_potential,unknown
186,cause,missing-feature
186,component,macros
186,conf,stated
186,kind,feature-request
186,layer,macro
186,outcome,fixed
186,pr_potential,unknown
187,cause,device-quirk
187,component,reader
187,conf,stated
187,device_type,keyboard
187,impact,broken-remap
187,kind,bug
187,layer,reader
187,outcome,wontfix
187,pr_potential,upstream-dep
187,symptom,device-not-detected
191,cause,doc-gap
191,conf,stated
191,kind,meta
191,layer,docs
191,outcome,open
191,pr_potential,docs-fix
192,cause,de-compat
192,conf,stated
192,kind,meta
192,layer,device
192,outcome,open
192,pr_potential,code-fix
195,cause,doc-gap
195,cause,symbol-mapping
195,conf,stated
195,kind,question
195,layer,mapping
195,outcome,docs-answer
195,pr_potential,docs-fix
196,cause,missing-feature
196,cause,wayland-issue
196,conf,stated
196,kind,feature-request
196,layer,mapping
196,outcome,wontfix
196,pr_potential,wontfix
197,cause,autoload-failure
197,cause,race-condition
197,component,service
197,conf,stated
197,de_os,arch
197,de_os,kde
197,impact,broken-remap
197,kind,bug
197,layer,daemon
197,layer,device
197,outcome,fixed
197,pr_potential,unknown
197,symptom,mapping-not-working
198,cause,missing-feature
198,component,macros
198,conf,stated
198,kind,feature-request
198,layer,macro
198,outcome,fixed
198,pr_potential,unknown
199,cause,doc-gap
199,conf,stated
199,kind,question
199,layer,gui
199,outcome,docs-answer
199,pr_potential,docs-fix
200,cause,macro-logic
200,component,macros
200,conf,inferred
200,device_type,mouse
200,impact,partial-remap
200,kind,bug
200,layer,injector
200,layer,macro
200,outcome,open
200,pr_potential,unknown
200,symptom,mapping-not-working
201,cause,macro-logic
201,component,macros
201,conf,stated
201,impact,partial-remap
201,kind,bug
201,layer,injector
201,layer,macro
201,outcome,workaround
201,pr_potential,code-fix
201,symptom,key-stuck
202,cause,device-quirk
202,component,reader
202,conf,stated
202,device_type,keyboard
202,impact,ui-bug
202,kind,bug
202,layer,device
202,outcome,wontfix
202,pr_potential,upstream-dep
203,cause,missing-feature
203,cause,wayland-issue
203,conf,stated
203,kind,feature-request
203,layer,mapping
203,outcome,workaround
203,pr_potential,needs-design
204,cause,distro-compat
204,conf,stated
204,de_os,fedora
204,impact,install-blocked
204,kind,bug
204,layer,install
204,outcome,workaround
204,pr_potential,unknown
204,symptom,install-fail
205,cause,missing-feature
205,component,injector
205,conf,stated
205,kind,feature-request
205,layer,device
205,layer,injector
205,outcome,open
205,pr_potential,needs-design
206,cause,device-quirk
206,conf,stated
206,device_type,mouse
206,impact,broken-remap
206,kind,bug
206,layer,reader
206,outcome,wontfix
206,pr_potential,upstream-dep
206,symptom,device-not-detected
207,cause,missing-feature
207,component,gui-app
207,conf,stated
207,kind,feature-request
207,layer,gui
207,outcome,open
207,pr_potential,code-fix
208,cause,distro-compat
208,cause,evdev-api
208,component,service
208,conf,inferred
208,de_os,arch
208,impact,install-blocked
208,kind,bug
208,layer,daemon
208,outcome,workaround
208,pr_potential,docs-fix
208,symptom,daemon-not-starting
209,cause,doc-gap
209,conf,stated
209,kind,question
209,layer,macro
209,outcome,docs-answer
209,pr_potential,docs-fix
210,cause,doc-gap
210,cause,x11-issue
210,conf,stated
210,kind,question
210,layer,mapping
210,outcome,docs-answer
210,pr_potential,docs-fix
211,cause,distro-compat
211,component,gui-app
211,conf,stated
211,impact,install-blocked
211,kind,bug
211,layer,install
211,outcome,fixed
211,pr_potential,unknown
212,cause,autoload-failure
212,cause,de-compat
212,component,service
212,conf,stated
212,de_os,arch
212,de_os,wayland
212,impact,broken-remap
212,kind,bug
212,layer,daemon
212,outcome,workaround
212,pr_potential,docs-fix
212,symptom,service-unit-issue
213,cause,distro-compat
213,cause,python-version
213,component,ci-build
213,conf,stated
213,de_os,fedora
213,impact,install-blocked
213,kind,bug
213,layer,install
213,outcome,workaround
213,pr_potential,unknown
213,symptom,install-fail
216,cause,config-error
216,conf,inferred
216,kind,spam
216,outcome,unknown
216,pr_potential,unknown
217,cause,de-compat
217,cause,permission
217,component,gui-app
217,conf,inferred
217,de_os,arch
217,de_os,kde
217,impact,install-blocked
217,kind,bug
217,layer,permissions
217,outcome,unknown
217,pr_potential,unknown
218,cause,missing-feature
218,conf,stated
218,kind,meta
218,outcome,fixed
218,pr_potential,unknown
220,cause,missing-feature
220,cause,x11-issue
220,component,keycodes
220,conf,stated
220,kind,feature-request
220,layer,mapping
220,outcome,fixed
220,pr_potential,unknown
221,cause,wayland-issue
221,cause,x11-issue
221,component,injector
221,conf,stated
221,de_os,wayland
221,impact,partial-remap
221,kind,bug
221,layer,injector
221,layer,macro
221,outcome,fixed
221,pr_potential,unknown
221,symptom,key-stuck
222,cause,symbol-mapping
222,component,reader
222,conf,inferred
222,device_type,mouse
222,impact,ui-bug
222,kind,bug
222,layer,reader
222,outcome,open
222,pr_potential,code-fix
223,cause,device-quirk
223,component,reader
223,conf,stated
223,device_type,keyboard
223,impact,broken-remap
223,kind,bug
223,layer,reader
223,outcome,open
223,pr_potential,code-fix
223,symptom,device-not-detected
224,cause,missing-feature
224,component,service
224,conf,inferred
224,kind,feature-request
224,layer,daemon
224,outcome,open
224,pr_potential,code-fix
225,cause,distro-compat
225,conf,inferred
225,de_os,fedora
225,impact,install-blocked
225,kind,bug
